Frequency;Environment;Crack_Growth;
0.1;Air;2.08;
0.1;Air;2.81;
0.1;Air;2.71;
0.1;Air;2.24;
1;Air;2.38;
1;Air;2.06;
1;Air;2.68;
1;Air;2.65;
10;Air;2.12;
10;Air;2.48;
10;Air;2.47;
10;Air;2.29;
0.1;H20;11.30;
0.1;H20;9.06;
0.1;H20;11.01;
0.1;H20;11.00;
1;H20;3.64;
1;H20;3.96;
1;H20;3.18;
1;H20;3.20;
10;H20;2.03;
10;H20;2.23;
10;H20;2.05;
10;H20;2.06;
0.1;SaltH20;10.4;
0.1;SaltH20;9.36;
0.1;SaltH20;10.01;
0.1;SaltH20;9.96;
1;SaltH20;3.24;
1;SaltH20;3.98;
1;SaltH20;3.24;
1;SaltH20;3.10;
10;SaltH20;2.06;
10;SaltH20;1.75;
10;SaltH20;1.93;
10;SaltH20;1.90;